t,z,V,Mach,gamma,q_total,T_surface,thickness
1.82,119790,7802.4,26.4427,0.0248888,811426,304.929,0.149631
1.84,119786,7802.44,26.4429,0.0251129,811672,304.984,0.149627
1.86,119782,7802.49,26.443,0.0253371,811920,305.038,0.149623
1.88,119778,7802.53,26.4432,0.0255612,812170,305.092,0.149619
1.9,119774,7802.58,26.4433,0.0257854,812422,305.146,0.149615
1.92,119770,7802.62,26.4435,0.0260095,812676,305.201,0.14961
1.94,119766,7802.67,26.4436,0.0262336,812932,305.255,0.149606
1.96,119762,7802.71,26.4438,0.0264578,813191,305.309,0.149602
1.98,119758,7802.76,26.4439,0.0266819,813451,305.364,0.149598
2,119754,7802.81,26.4441,0.0269061,813714,305.418,0.149594
2.02,119749,7802.85,26.4443,0.0271302,813978,305.472,0.14959
2.04,119745,7802.9,26.4444,0.0273543,814245,305.527,0.149586
2.06,119741,7802.95,26.4446,0.0275785,814514,305.581,0.149582
2.08,119736,7803,26.4447,0.0278026,814785,305.636,0.149578
2.1,119732,7803.05,26.4449,0.0280267,815059,305.69,0.149574
2.12,119728,7803.1,26.4451,0.0282508,815334,305.745,0.14957
2.14,119723,7803.15,26.4452,0.028475,815612,305.799,0.149566
2.16,119719,7803.2,26.4454,0.0286991,815891,305.854,0.149562
2.18,119714,7803.25,26.4456,0.0289232,816173,305.908,0.149558
2.2,119710,7803.3,26.4458,0.0291473,816457,305.963,0.149553
2.22,119705,7803.35,26.4459,0.0293715,816743,306.017,0.149549
2.24,119700,7803.4,26.4461,0.0295956,817032,306.072,0.149545
2.26,119696,7803.45,26.4463,0.0298197,817322,306.127,0.149541
2.28,119691,7803.5,26.4465,0.0300438,817615,306.181,0.149537
2.3,119686,7803.56,26.4466,0.0302679,817909,306.236,0.149533
2.32,119682,7803.61,26.4468,0.030492,818206,306.291,0.149529
2.34,119677,7803.66,26.447,0.0307161,818505,306.345,0.149525
2.36,119672,7803.72,26.4472,0.0309403,818807,306.4,0.149521
2.38,119667,7803.77,26.4474,0.0311644,819110,306.455,0.149517
2.4,119662,7803.82,26.4475,0.0313885,819416,306.51,0.149513
2.42,119657,7803.88,26.4477,0.0316126,819723,306.564,0.149508
2.44,119652,7803.93,26.4479,0.0318367,820033,306.619,0.149504
2.46,119647,7803.99,26.4481,0.0320608,820345,306.674,0.1495
2.48,119642,7804.05,26.4483,0.0322849,820659,306.729,0.149496
2.5,119637,7804.1,26.4485,0.032509,820976,306.784,0.149492
2.52,119632,7804.16,26.4487,0.0327331,821294,306.839,0.149488
2.54,119627,7804.22,26.4489,0.0329572,821615,306.894,0.149484
2.56,119622,7804.27,26.4491,0.0331812,821938,306.949,0.14948
2.58,119617,7804.33,26.4493,0.0334053,822263,307.004,0.149476
2.6,119611,7804.39,26.4495,0.0336294,822591,307.059,0.149472
2.62,119606,7804.45,26.4497,0.0338535,822920,307.114,0.149467
2.64,119601,7804.51,26.4499,0.0340776,823252,307.169,0.149463
2.66,119595,7804.57,26.4501,0.0343017,823586,307.224,0.149459
2.68,119590,7804.63,26.4503,0.0345257,823922,307.279,0.149455
2.7,119585,7804.69,26.4505,0.0347498,824260,307.334,0.149451
2.72,119579,7804.75,26.4507,0.0349739,824601,307.389,0.149447
2.74,119574,7804.81,26.4509,0.035198,824944,307.444,0.149443
2.76,119568,7804.87,26.4511,0.0354221,825289,307.499,0.149439
2.78,119563,7804.93,26.4513,0.0356461,825636,307.555,0.149434
2.8,119557,7805,26.4515,0.0358702,825985,307.61,0.14943
2.82,119551,7805.06,26.4517,0.0360943,826337,307.665,0.149426
2.84,119546,7805.12,26.4519,0.0363183,826691,307.72,0.149422
2.86,119540,7805.19,26.4522,0.0365424,827047,307.776,0.149418
2.88,119534,7805.25,26.4524,0.0367664,827405,307.831,0.149414
2.9,119528,7805.31,26.4526,0.0369905,827765,307.886,0.14941
2.92,119523,7805.38,26.4528,0.0372146,828128,307.942,0.149406
2.94,119517,7805.44,26.453,0.0374386,828493,307.997,0.149401
2.96,119511,7805.51,26.4533,0.0376627,828860,308.053,0.149397
2.98,119505,7805.58,26.4535,0.0378867,829230,308.108,0.149393
3,119499,7805.64,26.4537,0.0381108,829602,308.164,0.149389
3.02,119493,7805.71,26.4539,0.0383348,829976,308.219,0.149385
3.04,119487,7805.78,26.4542,0.0385589,830352,308.275,0.149381
3.06,119481,7805.84,26.4544,0.0387829,830730,308.33,0.149377
3.08,119475,7805.91,26.4546,0.0390069,831111,308.386,0.149372
3.1,119469,7805.98,26.4548,0.039231,831494,308.442,0.149368
3.12,119463,7806.05,26.4551,0.039455,831879,308.497,0.149364
3.14,119456,7806.12,26.4553,0.039679,832267,308.553,0.14936
3.16,119450,7806.19,26.4556,0.0399031,832656,308.609,0.149356
3.18,119444,7806.26,26.4558,0.0401271,833049,308.664,0.149352
3.2,119438,7806.33,26.456,0.0403511,833443,308.72,0.149347
3.22,119431,7806.4,26.4563,0.0405752,833839,308.776,0.149343
3.24,119425,7806.47,26.4565,0.0407992,834238,308.832,0.149339
3.26,119419,7806.54,26.4567,0.0410232,834639,308.888,0.149335
3.28,119412,7806.61,26.457,0.0412472,835043,308.944,0.149331
3.3,119406,7806.68,26.4572,0.0414712,835449,308.999,0.149327
3.32,119399,7806.76,26.4575,0.0416953,835857,309.055,0.149322
3.34,119393,7806.83,26.4577,0.0419193,836267,309.111,0.149318
3.36,119386,7806.9,26.458,0.0421433,836680,309.167,0.149314
3.38,119379,7806.98,26.4582,0.0423673,837095,309.223,0.14931
3.4,119373,7807.05,26.4585,0.0425913,837512,309.279,0.149306
3.42,119366,7807.13,26.4587,0.0428153,837931,309.336,0.149301
3.44,119359,7807.2,26.459,0.0430393,838353,309.392,0.149297
3.46,119353,7807.28,26.4592,0.0432633,838777,309.448,0.149293
3.48,119346,7807.35,26.4595,0.0434873,839204,309.504,0.149289
3.5,119339,7807.43,26.4598,0.0437113,839633,309.56,0.149285
3.52,119332,7807.5,26.46,0.0439353,840064,309.616,0.14928
3.54,119325,7807.58,26.4603,0.0441593,840497,309.673,0.149276
3.56,119318,7807.66,26.4605,0.0443832,840933,309.729,0.149272
3.58,119311,7807.74,26.4608,0.0446072,841371,309.785,0.149268
3.6,119304,7807.81,26.4611,0.0448312,841812,309.842,0.149264
3.62,119297,7807.89,26.4613,0.0450552,842255,309.898,0.149259
3.64,119290,7807.97,26.4616,0.0452792,842700,309.955,0.149255
3.66,119283,7808.05,26.4619,0.0455031,843147,310.011,0.149251
3.68,119276,7808.13,26.4621,0.0457271,843597,310.067,0.149247
3.7,119269,7808.21,26.4624,0.0459511,844049,310.124,0.149243
3.72,119262,7808.29,26.4627,0.046175,844504,310.181,0.149238
3.74,119254,7808.37,26.463,0.046399,844961,310.237,0.149234
3.76,119247,7808.45,26.4632,0.046623,845420,310.294,0.14923
3.78,119240,7808.53,26.4635,0.0468469,845882,310.35,0.149226
3.8,119233,7808.62,26.4638,0.0470709,846346,310.407,0.149221
3.82,119225,7808.7,26.4641,0.0472948,846812,310.464,0.149217
3.84,119218,7808.78,26.4643,0.0475188,847281,310.521,0.149213
3.86,119210,7808.86,26.4646,0.0477427,847752,310.577,0.149209
3.88,119203,7808.95,26.4649,0.0479667,848226,310.634,0.149205
3.9,119195,7809.03,26.4652,0.0481906,848702,310.691,0.1492
3.92,119188,7809.12,26.4655,0.0484146,849180,310.748,0.149196
3.94,119180,7809.2,26.4658,0.0486385,849661,310.805,0.149192
3.96,119173,7809.29,26.4661,0.0488624,850144,310.862,0.149188
3.98,119165,7809.37,26.4663,0.0490864,850630,310.919,0.149183
4,119157,7809.46,26.4666,0.0493103,851118,310.976,0.149179
4.02,119149,7809.54,26.4669,0.0495342,851608,311.033,0.149175
4.04,119142,7809.63,26.4672,0.0497581,852101,311.09,0.149171
4.06,119134,7809.72,26.4675,0.0499821,852596,311.147,0.149166
4.08,119126,7809.81,26.4678,0.050206,853094,311.204,0.149162
4.1,119118,7809.89,26.4681,0.0504299,853594,311.261,0.149158
4.12,119110,7809.98,26.4684,0.0506538,854097,311.319,0.149153
4.14,119102,7810.07,26.4687,0.0508777,854602,311.376,0.149149
4.16,119094,7810.16,26.469,0.0511016,855109,311.433,0.149145
4.18,119086,7810.25,26.4693,0.0513255,855619,311.491,0.149141
4.2,119078,7810.34,26.4696,0.0515494,856131,311.548,0.149136
4.22,119070,7810.43,26.4699,0.0517733,856646,311.605,0.149132
4.24,119062,7810.52,26.4702,0.0519972,857163,311.663,0.149128
4.26,119054,7810.61,26.4705,0.0522211,857683,311.72,0.149124
4.28,119046,7810.7,26.4709,0.052445,858205,311.778,0.149119
4.3,119037,7810.79,26.4712,0.0526689,858730,311.835,0.149115
4.32,119029,7810.89,26.4715,0.0528928,859257,311.893,0.149111
4.34,119021,7810.98,26.4718,0.0531167,859787,311.951,0.149106
4.36,119013,7811.07,26.4721,0.0533406,860319,312.008,0.149102
4.38,119004,7811.16,26.4724,0.0535644,860853,312.066,0.149098
4.4,118996,7811.26,26.4727,0.0537883,861390,312.124,0.149093
4.42,118987,7811.35,26.4731,0.0540122,861930,312.181,0.149089
4.44,118979,7811.45,26.4734,0.0542361,862472,312.239,0.149085
4.46,118970,7811.54,26.4737,0.0544599,863017,312.297,0.149081
4.48,118962,7811.64,26.474,0.0546838,863564,312.355,0.149076
4.5,118953,7811.73,26.4743,0.0549076,864113,312.413,0.149072
4.52,118945,7811.83,26.4747,0.0551315,864665,312.471,0.149068
4.54,118936,7811.93,26.475,0.0553554,865220,312.529,0.149063
4.56,118927,7812.02,26.4753,0.0555792,865777,312.587,0.149059
4.58,118919,7812.12,26.4757,0.055803,866337,312.645,0.149055
4.6,118910,7812.22,26.476,0.0560269,866899,312.703,0.14905
4.62,118901,7812.32,26.4763,0.0562507,867464,312.761,0.149046
4.64,118892,7812.41,26.4767,0.0564746,868031,312.82,0.149042
4.66,118884,7812.51,26.477,0.0566984,868601,312.878,0.149037
4.68,118875,7812.61,26.4773,0.0569222,869174,312.936,0.149033
4.7,118866,7812.71,26.4777,0.0571461,869749,312.994,0.149029
4.72,118857,7812.81,26.478,0.0573699,870326,313.053,0.149024
4.74,118848,7812.91,26.4783,0.0575937,870906,313.111,0.14902
4.76,118839,7813.01,26.4787,0.0578175,871489,313.17,0.149016
4.78,118830,7813.11,26.479,0.0580414,872074,313.228,0.149011
4.8,118821,7813.22,26.4794,0.0582652,872662,313.287,0.149007
4.82,118811,7813.32,26.4797,0.058489,873253,313.345,0.149002
4.84,118802,7813.42,26.4801,0.0587128,873846,313.404,0.148998
4.86,118793,7813.52,26.4804,0.0589366,874441,313.462,0.148994
4.88,118784,7813.63,26.4808,0.0591604,875039,313.521,0.148989
4.9,118775,7813.73,26.4811,0.0593842,875640,313.58,0.148985
4.92,118765,7813.83,26.4815,0.059608,876244,313.639,0.148981
