t,z,V,Mach,gamma,q_total,T_surface,thickness
7.98,116928,7834.37,26.551,0.0938031,1.00286e+06,323.248,0.148266
8,116913,7834.53,26.5516,0.0940263,1.00394e+06,323.315,0.148261
8.02,116899,7834.69,26.5522,0.0942494,1.00503e+06,323.383,0.148256
8.04,116884,7834.86,26.5527,0.0944726,1.00611e+06,323.451,0.148251
8.06,116869,7835.03,26.5533,0.0946957,1.0072e+06,323.519,0.148246
8.08,116854,7835.19,26.5538,0.0949188,1.0083e+06,323.587,0.148241
8.1,116839,7835.36,26.5544,0.095142,1.00939e+06,323.655,0.148236
8.12,116824,7835.52,26.555,0.0953651,1.0105e+06,323.723,0.148231
8.14,116809,7835.69,26.5555,0.0955882,1.0116e+06,323.791,0.148226
8.16,116794,7835.86,26.5561,0.0958113,1.01271e+06,323.859,0.148221
8.18,116779,7836.03,26.5567,0.0960344,1.01382e+06,323.928,0.148216
8.2,116764,7836.2,26.5573,0.0962575,1.01494e+06,323.996,0.148211
8.22,116749,7836.36,26.5578,0.0964806,1.01606e+06,324.065,0.148206
8.24,116734,7836.53,26.5584,0.0967037,1.01718e+06,324.133,0.148201
8.26,116719,7836.7,26.559,0.0969268,1.01831e+06,324.202,0.148196
8.28,116704,7836.87,26.5595,0.0971499,1.01944e+06,324.271,0.148191
8.3,116689,7837.04,26.5601,0.097373,1.02058e+06,324.34,0.148186
8.32,116673,7837.21,26.5607,0.097596,1.02172e+06,324.408,0.14818
8.34,116658,7837.38,26.5613,0.0978191,1.02286e+06,324.477,0.148175
8.36,116643,7837.56,26.5619,0.0980422,1.02401e+06,324.547,0.14817
8.38,116627,7837.73,26.5624,0.0982652,1.02516e+06,324.616,0.148165
8.4,116612,7837.9,26.563,0.0984883,1.02631e+06,324.685,0.14816
8.42,116596,7838.07,26.5636,0.0987113,1.02747e+06,324.754,0.148155
8.44,116581,7838.25,26.5642,0.0989343,1.02864e+06,324.824,0.14815
8.46,116565,7838.42,26.5648,0.0991574,1.0298e+06,324.893,0.148145
8.48,116550,7838.59,26.5654,0.0993804,1.03097e+06,324.963,0.148139
8.5,116534,7838.77,26.566,0.0996034,1.03215e+06,325.032,0.148134
8.52,116519,7838.94,26.5666,0.0998264,1.03332e+06,325.102,0.148129
8.54,116503,7839.12,26.5672,0.100049,1.03451e+06,325.172,0.148124
8.56,116487,7839.29,26.5677,0.100272,1.03569e+06,325.242,0.148119
8.58,116472,7839.47,26.5683,0.100495,1.03688e+06,325.312,0.148114
8.6,116456,7839.64,26.5689,0.100718,1.03808e+06,325.382,0.148108
8.62,116440,7839.82,26.5695,0.100941,1.03927e+06,325.452,0.148103
8.64,116424,7840,26.5701,0.101164,1.04048e+06,325.522,0.148098
8.66,116408,7840.18,26.5707,0.101387,1.04168e+06,325.592,0.148093
8.68,116392,7840.35,26.5713,0.10161,1.04289e+06,325.663,0.148088
8.7,116376,7840.53,26.5719,0.101833,1.04411e+06,325.733,0.148082
8.72,116360,7840.71,26.5726,0.102056,1.04533e+06,325.804,0.148077
8.74,116344,7840.89,26.5732,0.102279,1.04655e+06,325.874,0.148072
8.76,116328,7841.07,26.5738,0.102502,1.04777e+06,325.945,0.148067
8.78,116312,7841.25,26.5744,0.102725,1.049e+06,326.016,0.148061
8.8,116296,7841.43,26.575,0.102948,1.05024e+06,326.087,0.148056
8.82,116280,7841.61,26.5756,0.103171,1.05148e+06,326.158,0.148051
8.84,116264,7841.79,26.5762,0.103394,1.05272e+06,326.229,0.148046
8.86,116248,7841.97,26.5768,0.103617,1.05397e+06,326.3,0.14804
8.88,116231,7842.15,26.5774,0.10384,1.05522e+06,326.371,0.148035
8.9,116215,7842.34,26.5781,0.104063,1.05647e+06,326.442,0.14803
8.92,116199,7842.52,26.5787,0.104286,1.05773e+06,326.514,0.148025
8.94,116182,7842.7,26.5793,0.104509,1.05899e+06,326.585,0.148019
8.96,116166,7842.88,26.5799,0.104731,1.06026e+06,326.657,0.148014
8.98,116150,7843.07,26.5805,0.104954,1.06153e+06,326.729,0.148009
9,116133,7843.25,26.5812,0.105177,1.06281e+06,326.8,0.148003
9.02,116117,7843.44,26.5818,0.1054,1.06409e+06,326.872,0.147998
9.04,116100,7843.62,26.5824,0.105623,1.06537e+06,326.944,0.147993
9.06,116083,7843.81,26.583,0.105846,1.06666e+06,327.016,0.147987
9.08,116067,7843.99,26.5837,0.106069,1.06796e+06,327.088,0.147982
9.1,116050,7844.18,26.5843,0.106292,1.06925e+06,327.161,0.147977
9.12,116034,7844.36,26.5849,0.106514,1.07055e+06,327.233,0.147971
9.14,116017,7844.55,26.5856,0.106737,1.07186e+06,327.305,0.147966
9.16,116000,7844.74,26.5862,0.10696,1.07317e+06,327.378,0.147961
9.18,115983,7844.93,26.5868,0.107183,1.07448e+06,327.45,0.147955
9.2,115967,7845.11,26.5875,0.107406,1.0758e+06,327.523,0.14795
9.22,115950,7845.3,26.5881,0.107629,1.07712e+06,327.596,0.147944
9.24,115933,7845.49,26.5888,0.107851,1.07845e+06,327.669,0.147939
9.26,115916,7845.68,26.5894,0.108074,1.07978e+06,327.742,0.147934
9.28,115899,7845.87,26.59,0.108297,1.08112e+06,327.815,0.147928
9.3,115882,7846.06,26.5907,0.10852,1.08246e+06,327.888,0.147923
9.32,115865,7846.25,26.5913,0.108743,1.0838e+06,327.961,0.147917
9.34,115848,7846.44,26.592,0.108965,1.08515e+06,328.034,0.147912
9.36,115831,7846.63,26.5926,0.109188,1.08651e+06,328.108,0.147907
9.38,115814,7846.82,26.5933,0.109411,1.08786e+06,328.181,0.147901
9.4,115796,7847.02,26.5939,0.109634,1.08923e+06,328.255,0.147896
9.42,115779,7847.21,26.5946,0.109856,1.09059e+06,328.329,0.14789
9.44,115762,7847.4,26.5952,0.110079,1.09196e+06,328.402,0.147885
9.46,115745,7847.59,26.5959,0.110302,1.09334e+06,328.476,0.147879
9.48,115727,7847.79,26.5965,0.110525,1.09472e+06,328.55,0.147874
9.5,115710,7847.98,26.5972,0.110747,1.09611e+06,328.624,0.147868
9.52,115693,7848.18,26.5979,0.11097,1.09749e+06,328.698,0.147863
9.54,115675,7848.37,26.5985,0.111193,1.09889e+06,328.773,0.147857
9.56,115658,7848.56,26.5992,0.111416,1.10029e+06,328.847,0.147852
9.58,115640,7848.76,26.5998,0.111638,1.10169e+06,328.922,0.147846
9.6,115623,7848.96,26.6005,0.111861,1.1031e+06,328.996,0.147841
9.62,115605,7849.15,26.6012,0.112084,1.10451e+06,329.071,0.147835
9.64,115588,7849.35,26.6018,0.112306,1.10593e+06,329.146,0.14783
9.66,115570,7849.55,26.6025,0.112529,1.10735e+06,329.22,0.147824
9.68,115552,7849.74,26.6032,0.112752,1.10877e+06,329.295,0.147819
9.7,115535,7849.94,26.6038,0.112975,1.1102e+06,329.37,0.147813
9.72,115517,7850.14,26.6045,0.113197,1.11164e+06,329.446,0.147808
9.74,115499,7850.34,26.6052,0.11342,1.11308e+06,329.521,0.147802
9.76,115481,7850.54,26.6059,0.113643,1.11452e+06,329.596,0.147797
9.78,115463,7850.74,26.6065,0.113865,1.11597e+06,329.672,0.147791
9.8,115446,7850.94,26.6072,0.114088,1.11742e+06,329.747,0.147785
9.82,115428,7851.14,26.6079,0.11431,1.11888e+06,329.823,0.14778
9.84,115410,7851.34,26.6086,0.114533,1.12035e+06,329.899,0.147774
9.86,115392,7851.54,26.6092,0.114756,1.12181e+06,329.975,0.147769
9.88,115374,7851.74,26.6099,0.114978,1.12329e+06,330.051,0.147763
9.9,115356,7851.94,26.6106,0.115201,1.12476e+06,330.127,0.147757
9.92,115338,7852.14,26.6113,0.115424,1.12625e+06,330.203,0.147752
9.94,115320,7852.35,26.612,0.115646,1.12773e+06,330.279,0.147746
9.96,115301,7852.55,26.6127,0.115869,1.12922e+06,330.356,0.14774
9.98,115283,7852.75,26.6134,0.116091,1.13072e+06,330.432,0.147735
10,115265,7852.96,26.6141,0.116314,1.13222e+06,330.509,0.147729
10.02,115247,7853.16,26.6147,0.116537,1.13373e+06,330.585,0.147724
10.04,115228,7853.36,26.6154,0.116759,1.13524e+06,330.662,0.147718
10.06,115210,7853.57,26.6161,0.116982,1.13676e+06,330.739,0.147712
10.08,115192,7853.77,26.6168,0.117204,1.13828e+06,330.816,0.147706
10.1,115173,7853.98,26.6175,0.117427,1.1398e+06,330.893,0.147701
10.12,115155,7854.19,26.6182,0.117649,1.14133e+06,330.97,0.147695
10.14,115136,7854.39,26.6189,0.117872,1.14287e+06,331.048,0.147689
10.16,115118,7854.6,26.6196,0.118094,1.14441e+06,331.125,0.147684
10.18,115099,7854.81,26.6203,0.118317,1.14596e+06,331.203,0.147678
10.2,115081,7855.01,26.621,0.11854,1.14751e+06,331.28,0.147672
10.22,115062,7855.22,26.6217,0.118762,1.14906e+06,331.358,0.147666
10.24,115043,7855.43,26.6224,0.118985,1.15062e+06,331.436,0.147661
10.26,115025,7855.64,26.6231,0.119207,1.15219e+06,331.514,0.147655
10.28,115006,7855.85,26.6239,0.11943,1.15376e+06,331.592,0.147649
10.3,114987,7856.06,26.6246,0.119652,1.15533e+06,331.67,0.147643
10.32,114969,7856.27,26.6253,0.119875,1.15691e+06,331.749,0.147638
10.34,114950,7856.48,26.626,0.120097,1.1585e+06,331.827,0.147632
10.36,114931,7856.69,26.6267,0.120319,1.16009e+06,331.906,0.147626
10.38,114912,7856.9,26.6274,0.120542,1.16169e+06,331.984,0.14762
10.4,114893,7857.11,26.6281,0.120764,1.16329e+06,332.063,0.147614
10.42,114874,7857.32,26.6289,0.120987,1.16489e+06,332.142,0.147609
10.44,114855,7857.54,26.6296,0.121209,1.16651e+06,332.221,0.147603
10.46,114836,7857.75,26.6303,0.121432,1.16812e+06,332.3,0.147597
10.48,114817,7857.96,26.631,0.121654,1.16974e+06,332.379,0.147591
10.5,114798,7858.18,26.6317,0.121877,1.17137e+06,332.458,0.147585
10.52,114779,7858.39,26.6325,0.122099,1.173e+06,332.538,0.147579
10.54,114760,7858.6,26.6332,0.122321,1.17464e+06,332.617,0.147573
10.56,114740,7858.82,26.6339,0.122544,1.17628e+06,332.697,0.147568
10.58,114721,7859.03,26.6347,0.122766,1.17793e+06,332.777,0.147562
10.6,114702,7859.25,26.6354,0.122989,1.17958e+06,332.857,0.147556
10.62,114683,7859.47,26.6361,0.123211,1.18124e+06,332.937,0.14755
10.64,114663,7859.68,26.6368,0.123433,1.18291e+06,333.017,0.147544
10.66,114644,7859.9,26.6376,0.123656,1.18458e+06,333.097,0.147538
10.68,114624,7860.12,26.6383,0.123878,1.18625e+06,333.178,0.147532
10.7,114605,7860.33,26.6391,0.1241,1.18793e+06,333.258,0.147526
10.72,114585,7860.55,26.6398,0.124323,1.18961e+06,333.339,0.14752
10.74,114566,7860.77,26.6405,0.124545,1.19131e+06,333.419,0.147514
10.76,114546,7860.99,26.6413,0.124768,1.193e+06,333.5,0.147508
10.78,114527,7861.21,26.642,0.12499,1.1947e+06,333.581,0.147502
10.8,114507,7861.43,26.6428,0.125212,1.19641e+06,333.662,0.147496
10.82,114487,7861.65,26.6435,0.125435,1.19812e+06,333.743,0.14749
10.84,114468,7861.87,26.6443,0.125657,1.19984e+06,333.825,0.147484
10.86,114448,7862.09,26.645,0.125879,1.20156e+06,333.906,0.147478
10.88,114428,7862.31,26.6457,0.126101,1.20329e+06,333.988,0.147472
10.9,114408,7862.53,26.6465,0.126324,1.20503e+06,334.069,0.147466
10.92,114389,7862.75,26.6473,0.126546,1.20677e+06,334.151,0.14746
10.94,114369,7862.97,26.648,0.126768,1.20851e+06,334.233,0.147454
10.96,114349,7863.2,26.6488,0.126991,1.21026e+06,334.315,0.147448
10.98,114329,7863.42,26.6495,0.127213,1.21202e+06,334.397,0.147442
11,114309,7863.64,26.6503,0.127435,1.21378e+06,334.479,0.147436
11.02,114289,7863.87,26.651,0.127657,1.21555e+06,334.562,0.14743
11.04,114269,7864.09,26.6518,0.12788,1.21732e+06,334.644,0.147424
11.06,114249,7864.32,26.6526,0.128102,1.2191e+06,334.727,0.147418
11.08,114228,7864.54,26.6533,0.128324,1.22089e+06,334.81,0.147412
11.1,114208,7864.77,26.6541,0.128546,1.22268e+06,334.893,0.147406
11.12,114188,7864.99,26.6548,0.128769,1.22447e+06,334.976,0.1474
11.14,114168,7865.22,26.6556,0.128991,1.22627e+06,335.059,0.147393
11.16,114148,7865.44,26.6564,0.129213,1.22808e+06,335.142,0.147387
11.18,114127,7865.67,26.6571,0.129435,1.2299e+06,335.226,0.147381
11.2,114107,7865.9,26.6579,0.129657,1.23171e+06,335.309,0.147375
11.22,114087,7866.13,26.6587,0.12988,1.23354e+06,335.393,0.147369
11.24,114066,7866.35,26.6595,0.130102,1.23537e+06,335.476,0.147363
11.26,114046,7866.58,26.6602,0.130324,1.23721e+06,335.56,0.147356
11.28,114025,7866.81,26.661,0.130546,1.23905e+06,335.644,0.14735
11.3,114005,7867.04,26.6618,0.130768,1.2409e+06,335.729,0.147344
11.32,113984,7867.27,26.6626,0.13099,1.24275e+06,335.813,0.147338
11.34,113964,7867.5,26.6633,0.131212,1.24461e+06,335.897,0.147332
11.36,113943,7867.73,26.6641,0.131435,1.24648e+06,335.982,0.147325
11.38,113922,7867.96,26.6649,0.131657,1.24835e+06,336.067,0.147319
11.4,113902,7868.19,26.6657,0.131879,1.25023e+06,336.151,0.147313
11.42,113881,7868.42,26.6665,0.132101,1.25211e+06,336.236,0.147307
11.44,113860,7868.66,26.6673,0.132323,1.254e+06,336.321,0.1473
11.46,113839,7868.89,26.6681,0.132545,1.2559e+06,336.407,0.147294
11.48,113819,7869.12,26.6688,0.132767,1.2578e+06,336.492,0.147288
11.5,113798,7869.36,26.6696,0.132989,1.25971e+06,336.577,0.147282
11.52,113777,7869.59,26.6704,0.133211,1.26162e+06,336.663,0.147275
11.54,113756,7869.82,26.6712,0.133433,1.26354e+06,336.749,0.147269
11.56,113735,7870.06,26.672,0.133656,1.26547e+06,336.835,0.147263
11.58,113714,7870.29,26.6728,0.133878,1.2674e+06,336.921,0.147256
11.6,113693,7870.53,26.6736,0.1341,1.26934e+06,337.007,0.14725
11.62,113672,7870.76,26.6744,0.134322,1.27128e+06,337.093,0.147244
11.64,113651,7871,26.6752,0.134544,1.27324e+06,337.18,0.147237
11.66,113629,7871.23,26.676,0.134766,1.27519e+06,337.266,0.147231
11.68,113608,7871.47,26.6768,0.134988,1.27716e+06,337.353,0.147224
11.7,113587,7871.71,26.6776,0.13521,1.27913e+06,337.44,0.147218
11.72,113566,7871.95,26.6784,0.135432,1.2811e+06,337.527,0.147212
11.74,113545,7872.18,26.6792,0.135654,1.28308e+06,337.614,0.147205
11.76,113523,7872.42,26.68,0.135876,1.28507e+06,337.701,0.147199
11.78,113502,7872.66,26.6808,0.136098,1.28707e+06,337.788,0.147192
11.8,113480,7872.9,26.6816,0.13632,1.28907e+06,337.876,0.147186
11.82,113459,7873.14,26.6825,0.136542,1.29108e+06,337.964,0.14718
11.84,113438,7873.38,26.6833,0.136764,1.29309e+06,338.051,0.147173
11.86,113416,7873.62,26.6841,0.136986,1.29511e+06,338.139,0.147167
11.88,113395,7873.86,26.6849,0.137208,1.29714e+06,338.227,0.14716
11.9,113373,7874.1,26.6857,0.13743,1.29917e+06,338.316,0.147154
11.92,113351,7874.34,26.6865,0.137651,1.30121e+06,338.404,0.147147
11.94,113330,7874.59,26.6874,0.137873,1.30326e+06,338.493,0.147141
11.96,113308,7874.83,26.6882,0.138095,1.30531e+06,338.581,0.147134
11.98,113286,7875.07,26.689,0.138317,1.30737e+06,338.67,0.147128
12,113265,7875.31,26.6898,0.138539,1.30943e+06,338.759,0.147121
12.02,113243,7875.56,26.6906,0.138761,1.31151e+06,338.848,0.147114
12.04,113221,7875.8,26.6915,0.138983,1.31358e+06,338.937,0.147108
12.06,113199,7876.04,26.6923,0.139205,1.31567e+06,339.027,0.147101
12.08,113177,7876.29,26.6931,0.139427,1.31776e+06,339.116,0.147095
12.1,113155,7876.53,26.694,0.139649,1.31986e+06,339.206,0.147088
12.12,113133,7876.78,26.6948,0.13987,1.32197e+06,339.296,0.147082
12.14,113111,7877.03,26.6956,0.140092,1.32408e+06,339.386,0.147075
12.16,113089,7877.27,26.6965,0.140314,1.3262e+06,339.476,0.147068
12.18,113067,7877.52,26.6973,0.140536,1.32832e+06,339.566,0.147062
12.2,113045,7877.77,26.6981,0.140758,1.33046e+06,339.657,0.147055
12.22,113023,7878.01,26.699,0.14098,1.33259e+06,339.747,0.147048
12.24,113001,7878.26,26.6998,0.141201,1.33474e+06,339.838,0.147042
12.26,112979,7878.51,26.7007,0.141423,1.33689e+06,339.929,0.147035
12.28,112956,7878.76,26.7015,0.141645,1.33905e+06,340.02,0.147028
12.3,112934,7879.01,26.7023,0.141867,1.34122e+06,340.111,0.147022
12.32,112912,7879.26,26.7032,0.142089,1.34339e+06,340.202,0.147015
12.34,112889,7879.51,26.704,0.14231,1.34557e+06,340.294,0.147008
12.36,112867,7879.76,26.7049,0.142532,1.34776e+06,340.385,0.147001
12.38,112845,7880.01,26.7057,0.142754,1.34995e+06,340.477,0.146995
12.4,112822,7880.26,26.7066,0.142976,1.35216e+06,340.569,0.146988
12.42,112800,7880.51,26.7074,0.143197,1.35436e+06,340.661,0.146981
12.44,112777,7880.76,26.7083,0.143419,1.35658e+06,340.753,0.146974
12.46,112755,7881.01,26.7091,0.143641,1.3588e+06,340.846,0.146968
12.48,112732,7881.26,26.71,0.143863,1.36103e+06,340.938,0.146961
12.5,112709,7881.52,26.7108,0.144084,1.36327e+06,341.031,0.146954
12.52,112687,7881.77,26.7117,0.144306,1.36551e+06,341.124,0.146947
12.54,112664,7882.02,26.7126,0.144528,1.36776e+06,341.217,0.14694
12.56,112641,7882.28,26.7134,0.144749,1.37002e+06,341.31,0.146933
12.58,112618,7882.53,26.7143,0.144971,1.37228e+06,341.404,0.146927
12.6,112596,7882.79,26.7152,0.145193,1.37456e+06,341.497,0.14692
12.62,112573,7883.04,26.716,0.145414,1.37684e+06,341.591,0.146913
12.64,112550,7883.3,26.7169,0.145636,1.37912e+06,341.685,0.146906
12.66,112527,7883.55,26.7178,0.145858,1.38142e+06,341.778,0.146899
12.68,112504,7883.81,26.7186,0.146079,1.38372e+06,341.873,0.146892
12.7,112481,7884.07,26.7195,0.146301,1.38603e+06,341.967,0.146885
12.72,112458,7884.32,26.7204,0.146523,1.38834e+06,342.061,0.146878
12.74,112435,7884.58,26.7212,0.146744,1.39067e+06,342.156,0.146871
12.76,112412,7884.84,26.7221,0.146966,1.393e+06,342.251,0.146864
12.78,112389,7885.1,26.723,0.147187,1.39534e+06,342.346,0.146857
12.8,112366,7885.36,26.7239,0.147409,1.39768e+06,342.441,0.14685
12.82,112342,7885.62,26.7247,0.147631,1.40004e+06,342.536,0.146843
12.84,112319,7885.88,26.7256,0.147852,1.4024e+06,342.632,0.146836
12.86,112296,7886.14,26.7265,0.148074,1.40476e+06,342.727,0.146829
12.88,112273,7886.4,26.7274,0.148295,1.40714e+06,342.823,0.146822
12.9,112249,7886.66,26.7283,0.148517,1.40952e+06,342.919,0.146815
12.92,112226,7886.92,26.7292,0.148738,1.41191e+06,343.015,0.146808
12.94,112203,7887.18,26.73,0.14896,1.41431e+06,343.111,0.146801
12.96,112179,7887.44,26.7309,0.149182,1.41672e+06,343.208,0.146794
12.98,112156,7887.7,26.7318,0.149403,1.41913e+06,343.304,0.146787
13,112132,7887.97,26.7327,0.149625,1.42155e+06,343.401,0.14678
13.02,112109,7888.23,26.7336,0.149846,1.42398e+06,343.498,0.146773
13.04,112085,7888.49,26.7345,0.150068,1.42642e+06,343.595,0.146766
13.06,112061,7888.76,26.7354,0.150289,1.42887e+06,343.693,0.146759
13.08,112038,7889.02,26.7363,0.150511,1.43132e+06,343.79,0.146751
13.1,112014,7889.29,26.7372,0.150732,1.43378e+06,343.888,0.146744
13.12,111990,7889.55,26.7381,0.150954,1.43625e+06,343.986,0.146737
13.14,111966,7889.82,26.739,0.151175,1.43872e+06,344.084,0.14673
13.16,111943,7890.08,26.7399,0.151396,1.44121e+06,344.182,0.146723
13.18,111919,7890.35,26.7408,0.151618,1.4437e+06,344.28,0.146715
13.2,111895,7890.62,26.7417,0.151839,1.4462e+06,344.379,0.146708
13.22,111871,7890.88,26.7426,0.152061,1.44871e+06,344.477,0.146701
13.24,111847,7891.15,26.7435,0.152282,1.45122e+06,344.576,0.146694
13.26,111823,7891.42,26.7444,0.152504,1.45375e+06,344.675,0.146686
13.28,111799,7891.69,26.7453,0.152725,1.45628e+06,344.775,0.146679
13.3,111775,7891.96,26.7462,0.152946,1.45882e+06,344.874,0.146672
13.32,111751,7892.22,26.7471,0.153168,1.46137e+06,344.973,0.146665
13.34,111727,7892.49,26.748,0.153389,1.46392e+06,345.073,0.146657
13.36,111703,7892.76,26.749,0.153611,1.46649e+06,345.173,0.14665
13.38,111679,7893.03,26.7499,0.153832,1.46906e+06,345.273,0.146643
13.4,111654,7893.3,26.7508,0.154053,1.47164e+06,345.374,0.146635
13.42,111630,7893.58,26.7517,0.154275,1.47423e+06,345.474,0.146628
13.44,111606,7893.85,26.7526,0.154496,1.47683e+06,345.575,0.14662
13.46,111581,7894.12,26.7536,0.154717,1.47944e+06,345.676,0.146613
13.48,111557,7894.39,26.7545,0.154939,1.48205e+06,345.777,0.146606
13.5,111533,7894.66,26.7554,0.15516,1.48467e+06,345.878,0.146598
13.52,111508,7894.94,26.7563,0.155381,1.4873e+06,345.979,0.146591
13.54,111484,7895.21,26.7573,0.155603,1.48994e+06,346.081,0.146583
13.56,111459,7895.48,26.7582,0.155824,1.49259e+06,346.183,0.146576
13.58,111435,7895.76,26.7591,0.156045,1.49525e+06,346.285,0.146568
13.6,111410,7896.03,26.76,0.156266,1.49791e+06,346.387,0.146561
13.62,111386,7896.31,26.761,0.156488,1.50059e+06,346.489,0.146553
13.64,111361,7896.58,26.7619,0.156709,1.50327e+06,346.592,0.146546
13.66,111336,7896.86,26.7628,0.15693,1.50596e+06,346.694,0.146538
13.68,111312,7897.13,26.7638,0.157151,1.50866e+06,346.797,0.146531
13.7,111287,7897.41,26.7647,0.157373,1.51137e+06,346.9,0.146523
13.72,111262,7897.69,26.7656,0.157594,1.51408e+06,347.004,0.146516
13.74,111237,7897.96,26.7666,0.157815,1.51681e+06,347.107,0.146508
13.76,111212,7898.24,26.7675,0.158036,1.51954e+06,347.211,0.146501
13.78,111187,7898.52,26.7685,0.158258,1.52228e+06,347.315,0.146493
13.8,111162,7898.8,26.7694,0.158479,1.52504e+06,347.419,0.146485
13.82,111138,7899.08,26.7704,0.1587,1.5278e+06,347.523,0.146478
13.84,111113,7899.36,26.7713,0.158921,1.53057e+06,347.627,0.14647
13.86,111087,7899.64,26.7723,0.159142,1.53334e+06,347.732,0.146462
13.88,111062,7899.92,26.7732,0.159363,1.53613e+06,347.837,0.146455
13.9,111037,7900.2,26.7742,0.159585,1.53893e+06,347.942,0.146447
13.92,111012,7900.48,26.7751,0.159806,1.54173e+06,348.047,0.146439
13.94,110987,7900.76,26.7761,0.160027,1.54455e+06,348.152,0.146432
13.96,110962,7901.04,26.777,0.160248,1.54737e+06,348.258,0.146424
13.98,110937,7901.32,26.778,0.160469,1.5502e+06,348.364,0.146416
14,110911,7901.6,26.7789,0.16069,1.55304e+06,348.47,0.146408
14.02,110886,7901.89,26.7799,0.160911,1.55589e+06,348.576,0.146401
14.04,110861,7902.17,26.7808,0.161132,1.55875e+06,348.683,0.146393
14.06,110835,7902.45,26.7818,0.161353,1.56162e+06,348.789,0.146385
14.08,110810,7902.74,26.7828,0.161575,1.5645e+06,348.896,0.146377
14.1,110784,7903.02,26.7837,0.161796,1.56739e+06,349.003,0.146369
14.12,110759,7903.31,26.7847,0.162017,1.57028e+06,349.11,0.146362
14.14,110733,7903.59,26.7857,0.162238,1.57319e+06,349.218,0.146354
14.16,110708,7903.88,26.7866,0.162459,1.5761e+06,349.325,0.146346
14.18,110682,7904.16,26.7876,0.16268,1.57903e+06,349.433,0.146338
14.2,110656,7904.45,26.7886,0.162901,1.58196e+06,349.541,0.14633
14.22,110631,7904.74,26.7895,0.163122,1.58491e+06,349.649,0.146322
14.24,110605,7905.02,26.7905,0.163343,1.58786e+06,349.758,0.146314
14.26,110579,7905.31,26.7915,0.163564,1.59082e+06,349.867,0.146306
14.28,110554,7905.6,26.7925,0.163785,1.59379e+06,349.975,0.146298
14.3,110528,7905.89,26.7934,0.164006,1.59678e+06,350.085,0.14629
14.32,110502,7906.18,26.7944,0.164227,1.59977e+06,350.194,0.146282
14.34,110476,7906.47,26.7954,0.164448,1.60277e+06,350.303,0.146274
14.36,110450,7906.76,26.7964,0.164669,1.60578e+06,350.413,0.146266
14.38,110424,7907.05,26.7974,0.16489,1.6088e+06,350.523,0.146258
14.4,110398,7907.34,26.7983,0.16511,1.61183e+06,350.633,0.14625
14.42,110372,7907.63,26.7993,0.165331,1.61487e+06,350.743,0.146242
14.44,110346,7907.92,26.8003,0.165552,1.61792e+06,350.854,0.146234
14.46,110320,7908.21,26.8013,0.165773,1.62098e+06,350.965,0.146226
14.48,110294,7908.5,26.8023,0.165994,1.62405e+06,351.076,0.146218
14.5,110268,7908.79,26.8033,0.166215,1.62713e+06,351.187,0.14621
14.52,110241,7909.09,26.8043,0.166436,1.63022e+06,351.299,0.146201
14.54,110215,7909.38,26.8053,0.166657,1.63332e+06,351.41,0.146193
14.56,110189,7909.67,26.8063,0.166878,1.63643e+06,351.522,0.146185
14.58,110163,7909.97,26.8073,0.167098,1.63955e+06,351.634,0.146177
14.6,110136,7910.26,26.8083,0.167319,1.64268e+06,351.746,0.146169
14.62,110110,7910.55,26.8093,0.16754,1.64582e+06,351.859,0.14616
14.64,110083,7910.85,26.8103,0.167761,1.64897e+06,351.972,0.146152
14.66,110057,7911.14,26.8113,0.167982,1.65213e+06,352.085,0.146144
14.68,110031,7911.44,26.8123,0.168203,1.6553e+06,352.198,0.146136
14.7,110004,7911.74,26.8133,0.168423,1.65848e+06,352.311,0.146127
14.72,109977,7912.03,26.8143,0.168644,1.66167e+06,352.425,0.146119
14.74,109951,7912.33,26.8153,0.168865,1.66487e+06,352.539,0.146111
14.76,109924,7912.63,26.8163,0.169086,1.66808e+06,352.653,0.146102
14.78,109898,7912.93,26.8173,0.169307,1.6713e+06,352.767,0.146094
14.8,109871,7913.22,26.8183,0.169527,1.67453e+06,352.882,0.146086
14.82,109844,7913.52,26.8193,0.169748,1.67778e+06,352.997,0.146077
14.84,109817,7913.82,26.8203,0.169969,1.68103e+06,353.112,0.146069
14.86,109791,7914.12,26.8213,0.17019,1.6843e+06,353.227,0.146061
14.88,109764,7914.42,26.8224,0.17041,1.68757e+06,353.342,0.146052
14.9,109737,7914.72,26.8234,0.170631,1.69086e+06,353.458,0.146044
14.92,109710,7915.02,26.8244,0.170852,1.69415e+06,353.574,0.146035
14.94,109683,7915.32,26.8254,0.171072,1.69746e+06,353.69,0.146027
14.96,109656,7915.62,26.8264,0.171293,1.70078e+06,353.807,0.146018
14.98,109629,7915.92,26.8275,0.171514,1.7041e+06,353.923,0.14601
15,109602,7916.23,26.8285,0.171734,1.70744e+06,354.04,0.146001
15.02,109575,7916.53,26.8295,0.171955,1.71079e+06,354.157,0.145993
15.04,109548,7916.83,26.8305,0.172176,1.71415e+06,354.275,0.145984
15.06,109521,7917.14,26.8316,0.172396,1.71753e+06,354.392,0.145975
15.08,109493,7917.44,26.8326,0.172617,1.72091e+06,354.51,0.145967
15.1,109466,7917.74,26.8336,0.172838,1.7243e+06,354.628,0.145958
15.12,109439,7918.05,26.8347,0.173058,1.72771e+06,354.747,0.14595
15.14,109412,7918.35,26.8357,0.173279,1.73112e+06,354.865,0.145941
