t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
0.69,119963,7800.2,26.4353,0.00724587,813334,303.555,300,0.0798579,0
0.7,119963,7800.2,26.4353,0.00725798,813366,303.606,300,0.0798559,0
0.71,119962,7800.2,26.4353,0.00727009,813398,303.657,300,0.0798539,0
0.72,119962,7800.2,26.4353,0.00728221,813431,303.708,300,0.0798518,0
0.73,119961,7800.2,26.4353,0.00729432,813463,303.759,300,0.0798498,0
0.74,119960,7800.2,26.4353,0.00730643,813495,303.809,300,0.0798478,0
0.75,119960,7800.2,26.4353,0.00731854,813528,303.86,300,0.0798457,0
0.76,119959,7800.2,26.4353,0.00733065,813561,303.911,300,0.0798437,0
0.77,119959,7800.2,26.4353,0.00734276,813593,303.962,300,0.0798417,0
0.78,119958,7800.2,26.4353,0.00735488,813626,304.013,300,0.0798396,0
0.79,119958,7800.21,26.4353,0.00736699,813659,304.064,300,0.0798376,0
0.8,119957,7800.21,26.4353,0.0073791,813691,304.115,300,0.0798356,0
0.81,119956,7800.21,26.4353,0.00739121,813724,304.166,300,0.0798335,0
0.82,119956,7800.21,26.4353,0.00740332,813757,304.217,300,0.0798315,0
0.83,119955,7800.21,26.4353,0.00741543,813790,304.268,300,0.0798295,0
0.84,119955,7800.21,26.4353,0.00742755,813823,304.319,300,0.0798274,0
0.85,119954,7800.21,26.4353,0.00743966,813856,304.37,300,0.0798254,0
0.86,119954,7800.21,26.4353,0.00745177,813889,304.421,300,0.0798234,0
0.87,119953,7800.21,26.4353,0.00746388,813922,304.472,300,0.0798213,0
0.88,119952,7800.21,26.4353,0.00747599,813955,304.523,300,0.0798193,0
0.89,119952,7800.21,26.4353,0.0074881,813989,304.573,300,0.0798173,0
0.9,119951,7800.21,26.4353,0.00750022,814022,304.624,300,0.0798152,0
0.91,119951,7800.21,26.4353,0.00751233,814055,304.675,300,0.0798132,0
0.92,119950,7800.21,26.4353,0.00752444,814089,304.726,300,0.0798112,0
0.93,119949,7800.21,26.4353,0.00753655,814122,304.777,300,0.0798091,0
0.94,119949,7800.21,26.4353,0.00754866,814156,304.828,300,0.0798071,0
0.95,119948,7800.22,26.4353,0.00756077,814189,304.879,300,0.0798051,0
0.96,119948,7800.22,26.4353,0.00757289,814223,304.93,300,0.079803,0
0.97,119947,7800.22,26.4353,0.007585,814257,304.981,300,0.079801,0
0.98,119946,7800.22,26.4353,0.00759711,814290,305.032,300,0.079799,0
